Date,Volume
1409211831000,633
1409211844000,633
1409211851000,631
1409211863000,629
1409211873000,629
1409211882000,633
1409211892000,635
1409211902000,635
1409211913000,633
1409211923000,634
1409211934000,634
1409211942000,630
1409211955000,631
1409211962000,631
1409211977000,635
1409211983000,634
1409211993000,634
1409212003000,631
1409212014000,632
1409212024000,632
1409212033000,630
1409212053000,631
1409212062000,632
1409212073000,631
1409212083000,631
1409212094000,633
1409212105000,632
1409212113000,632
1409212122000,633
1409212133000,634
1409212143000,634
1409212154000,632
1409212163000,630
1409212176000,630
1409212183000,628
1409212193000,626
1409212207000,626
1409212225000,644
1409212234000,644
1409212243000,653
1409212253000,651
1409212262000,651
1409212271000,645
1409212283000,647
1409212292000,647
1409212308000,648
1409212312000,645
1409212324000,645
1409212335000,646
1409212343000,645
1409212352000,645
1409212373000,634
1409212393000,637
1409212402000,637
1409212414000,637
1409212422000,630
1409212435000,628
1409212443000,628
1409212453000,626
1409212463000,626
1409212472000,626
1409212483000,628
1409212494000,628
1409212506000,628
1409212514000,630
1409212523000,632
1409212545000,631
1409212554000,632
1409212563000,632
1409212572000,630
1409212583000,629
1409212593000,629
1409212602000,629
1409212613000,623
1409212623000,623
1409212633000,628
1409212643000,628
1409212655000,628
1409212662000,628
1409212676000,626
1409212685000,626
1409212695000,627
1409212718000,631
1409212732000,626
1409212745000,626
1409212755000,629
1409212764000,628
1409212777000,628
1409212782000,628
1409212793000,628
1409212804000,628
1409212813000,629
1409212823000,627
1409212837000,627
1409212845000,629
1409212853000,627
1409212865000,627
1409212883000,625
1409212906000,625
1409212915000,619
1409212923000,619
1409212936000,621
1409212944000,618
1409212957000,618
1409212965000,618
1409212977000,619
1409212983000,619
1409212995000,619
1409213012000,619
1409213035000,621
1409213043000,621
1409213053000,617
1409213064000,618
1409213076000,618
1409213086000,620
1409213095000,617
1409213110000,617
1409213115000,619
1409213125000,618
1409213143000,618
1409213164000,618
1409213183000,617
1409213198000,617
1409213204000,620
1409213212000,618
1409213225000,618
1409213234000,618
1409213243000,618
1409213253000,618
1409213263000,623
1409213275000,617
1409213294000,618
1409213304000,618
1409213316000,618
1409213324000,620
1409213334000,618
1409213345000,618
1409213354000,617
1409213366000,619
1409213374000,619
1409213384000,620
1409213393000,618
1409213410000,618
1409213414000,621
1409213425000,616
1409213433000,616
1409213443000,619
1409213464000,616
1409213485000,617
1409213495000,617
1409213506000,617
1409213521000,617
1409213525000,617
1409213535000,618
1409213546000,814
1409213555000,814
1409213566000,816
1409213574000,815
1409213584000,815
1409213597000,817
1409213607000,818
1409213614000,818
1409213637000,821
1409213645000,820
1409213653000,820
1409213664000,822
1409213675000,822
1409213687000,820
1409213696000,821
1409213706000,821
1409213718000,621
1409213727000,621
1409213733000,621
1409213744000,621
1409213764000,620
1409213776000,621
1409213785000,617
1409213794000,619
1409213806000,619
1409213815000,621
1409213827000,621
1409213835000,663
1409213845000,617
1409213855000,617
1409213865000,626
1409213877000,618
1409213885000,621
1409213896000,621
1409213907000,619
1409213914000,619
1409213934000,617
1409213946000,621
1409213959000,621
1409213966000,619
1409213978000,616
1409213984000,616
1409213996000,616
1409214004000,616
1409214017000,616
1409214025000,617
1409214035000,614
1409214049000,614
1409214055000,620
1409214064000,620
1409214075000,616
1409214086000,613
1409214106000,615
1409214119000,617
1409214125000,615
1409214135000,615
1409214147000,614
1409214156000,614
1409214166000,614
1409214174000,612
1409214189000,615
1409214195000,615
1409214208000,612
1409214216000,613
1409214226000,613
1409214235000,615
1409214246000,614
1409214261000,614
1409214265000,616
1409214276000,614
1409214294000,612
1409214305000,614
1409214316000,614
1409214324000,620
1409214336000,621
1409214345000,621
1409214355000,616
1409214365000,613
1409214377000,613
1409214385000,612
1409214395000,616
1409214404000,616
1409214425000,615
1409214437000,615
1409214445000,614
1409214466000,612
1409214476000,612
1409214485000,615
1409214495000,615
1409214505000,616
1409214515000,612
1409214527000,612
1409214534000,610
1409214549000,613
1409214556000,613
1409214567000,615
1409214577000,616
1409214596000,611
1409214607000,610
1409214616000,610
1409214626000,615
1409214636000,614
1409214647000,614
1409214657000,614
1409214665000,614
1409214676000,614
1409214686000,609
1409214696000,613
1409214706000,613
1409214716000,613
1409214727000,614
1409214738000,614
1409214747000,612
1409214754000,615
1409214768000,615
1409214776000,614
1409214786000,617
1409214795000,617
1409214805000,613
1409214815000,612
1409214826000,612
1409214837000,612
1409214846000,614
1409214856000,614
1409214867000,606
1409214876000,607
1409214886000,607
1409214896000,606
1409214906000,604
1409214920000,604
1409214926000,604
1409214937000,606
1409214955000,605
1409214965000,602
1409214976000,602
1409214985000,598
1409214996000,604
1409215006000,604
1409215015000,607
1409215024000,607
1409215036000,607
1409215045000,604
1409215056000,602
1409215064000,602
1409215087000,602
1409215097000,602
1409215109000,609
1409215117000,601
1409215125000,601
1409215136000,604
1409215148000,600
1409215158000,600
1409215167000,602
1409215175000,606
1409215186000,606
1409215195000,608
1409215207000,602
1409215218000,602
1409215227000,605
1409215235000,603
1409215260000,604
1409215266000,602
1409215280000,602
1409215288000,601
1409215295000,602
1409215305000,602
1409215317000,601
1409215327000,600
1409215341000,600
1409215349000,606
1409215354000,603
1409215367000,603
1409215377000,605
1409215385000,606
1409215396000,606
1409215406000,607
1409215419000,605
1409215428000,605
1409215447000,601
1409215456000,601
1409215467000,616
1409215476000,602
1409215489000,602
1409215495000,603
1409215508000,602
1409215516000,602
1409215525000,599
1409215537000,602
1409215548000,602
1409215556000,602
1409215567000,602
1409215579000,602
1409215588000,600
1409215598000,600
1409215617000,602
1409215626000,603
1409215638000,603
1409215648000,602
1409215656000,600
1409215669000,600
1409215676000,599
1409215688000,598
1409215698000,598
1409215708000,604
1409215716000,602
1409215727000,602
1409215738000,598
1409215745000,600
1409215767000,601
1409215775000,601
1409215786000,601
1409215796000,600
1409215807000,601
1409215816000,601
1409215826000,599
1409215836000,600
1409215846000,600
1409215857000,604
1409215867000,601
1409215876000,601
1409215884000,600
1409215898000,598
1409215905000,598
1409215917000,598
1409215927000,602
1409215934000,602
1409215957000,603
1409215976000,599
1409215985000,600
1409215999000,600
1409216006000,602
1409216017000,602
1409216025000,602
1409216035000,601
1409216046000,600
1409216056000,600
1409216068000,601
1409216079000,602
1409216090000,602
1409216099000,603
1409216107000,601
1409216119000,601
1409216126000,601
1409216148000,599
1409216158000,604
1409216167000,601
